14:41:29.154	SERVER	admin	OK	Server was started (port: 1984).
14:51:48.017	127.0.0.1:63659	admin	REQUEST	EXEC[0]	2.54 ms
14:51:48.017	127.0.0.1:63659	admin	ERROR	Stopped at /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/bin/music.xqm, 5/21: [FODC0002] Resource '/Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/app/basex/src/musicastop_db/xml_artists_info/artist_info_BTS.xml' does not exist.	0.13 ms
14:51:48.017	127.0.0.1:63659	admin	REQUEST	EXIT	0.36 ms
14:51:48.018	127.0.0.1:63659	admin	OK		0.24 ms
14:54:36.714	127.0.0.1:63716	admin	OK	QUERY[0] import module namespace funcs="com.funcs.music" at "music.xqm"; funcs:giveSomeInfo("BTS")	0.17 ms
14:54:36.803	127.0.0.1:63716	admin	OK	EXEC[0]	88.12 ms
14:54:36.803	127.0.0.1:63716	admin	OK	CLOSE[0]	0.1 ms
14:54:36.804	127.0.0.1:63716	admin	REQUEST	EXIT	0.4 ms
14:54:36.804	127.0.0.1:63716	admin	OK		0.29 ms
14:56:16.235	127.0.0.1:63743	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.17 ms
14:56:16.243	127.0.0.1:63743	admin	OK	EXEC[0]	7.41 ms
14:56:16.243	127.0.0.1:63743	admin	OK	CLOSE[0]	0.09 ms
14:56:16.244	127.0.0.1:63743	admin	REQUEST	EXIT	0.41 ms
14:56:16.244	127.0.0.1:63743	admin	OK		0.18 ms
14:56:36.824	127.0.0.1:63751	admin	OK	QUERY[0] import module namespace funcs='com.funcs.' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.18 ms
14:56:36.825	127.0.0.1:63751	admin	REQUEST	EXEC[0]	1.1 ms
14:56:36.825	127.0.0.1:63751	admin	ERROR	Stopped at ., 1/43: [XQST0059] Imported module 'music.xqm' has unexpected namespace: 'com.funcs.' vs 'com.funcs.music'.	0.11 ms
14:56:36.826	127.0.0.1:63751	admin	REQUEST	EXIT	0.34 ms
14:56:36.826	127.0.0.1:63751	admin	OK		0.15 ms
14:57:15.369	127.0.0.1:63768	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.13 ms
14:57:15.375	127.0.0.1:63768	admin	OK	EXEC[0]	5.5 ms
14:57:15.375	127.0.0.1:63768	admin	OK	CLOSE[0]	0.09 ms
14:57:15.376	127.0.0.1:63768	admin	REQUEST	EXIT	0.37 ms
14:57:15.376	127.0.0.1:63768	admin	OK		0.18 ms
14:58:59.854	127.0.0.1:63798	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo(BTS)	0.2 ms
14:58:59.857	127.0.0.1:63798	admin	REQUEST	EXEC[0]	2.78 ms
14:58:59.858	127.0.0.1:63798	admin	ERROR	Stopped at ., 1/87: [XPDY0002] BTS: Context is undeclared.	0.2 ms
14:58:59.858	127.0.0.1:63798	admin	REQUEST	EXIT	0.35 ms
14:58:59.859	127.0.0.1:63798	admin	OK		0.18 ms
14:59:29.254	127.0.0.1:63803	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.12 ms
